type,time (mya),endocranial_volume (cc^3),standard deviation,predicted_body_mass (kg),gender,other,source_name,source_link
homo_sapiens_archaic,0.041,1750,,84.481,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens_archaic,0.041,1565,,81.19,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.1,1531,,64.652,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.08,1520,,70.166,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.03,1600,,59.407,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.026,1580,,75.313,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.02,1550,,80.775,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.02,1375,,40.405,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.015,1380,,43.241,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.015,1500,,83.635,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.015,1290,,71.312,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.014,1550,,48.915,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.01,1500,,68.162,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
homo_sapiens,0.008,1540,,50.182,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
